,image_files,exercise_label,numeric_labels,partition
13670,deadlift_2200031.jpg,deadlift,0.0,test
13669,deadlift_2200041.jpg,deadlift,0.0,train
13668,deadlift_2200051.jpg,deadlift,0.0,train
13667,deadlift_2200061.jpg,deadlift,0.0,train
13666,deadlift_2300001.jpg,deadlift,0.0,train
13665,deadlift_2300011.jpg,deadlift,0.0,train
13664,deadlift_2300021.jpg,deadlift,0.0,train
13663,deadlift_2300031.jpg,deadlift,0.0,test
13662,deadlift_2300041.jpg,deadlift,0.0,train
13661,deadlift_2300051.jpg,deadlift,0.0,train
13660,deadlift_2300061.jpg,deadlift,0.0,train
13659,deadlift_2400001.jpg,deadlift,0.0,train
13658,deadlift_2400011.jpg,deadlift,0.0,train
13657,deadlift_2400021.jpg,deadlift,0.0,validation
13656,deadlift_2400031.jpg,deadlift,0.0,train
13655,deadlift_2400041.jpg,deadlift,0.0,train
13654,deadlift_2400051.jpg,deadlift,0.0,train
13653,deadlift_2400061.jpg,deadlift,0.0,validation
13652,deadlift_2400071.jpg,deadlift,0.0,train
13651,deadlift_2400081.jpg,deadlift,0.0,test
13650,deadlift_2400091.jpg,deadlift,0.0,validation
13649,deadlift_2500001.jpg,deadlift,0.0,train
13648,deadlift_2500011.jpg,deadlift,0.0,train
13647,deadlift_2500021.jpg,deadlift,0.0,train
13646,deadlift_2500031.jpg,deadlift,0.0,test
13645,deadlift_2500041.jpg,deadlift,0.0,test
13644,deadlift_2500051.jpg,deadlift,0.0,validation
13643,deadlift_2500061.jpg,deadlift,0.0,train
13642,deadlift_2500071.jpg,deadlift,0.0,validation
13641,deadlift_2500081.jpg,deadlift,0.0,validation
13640,deadlift_2500091.jpg,deadlift,0.0,test
13639,deadlift_2500101.jpg,deadlift,0.0,validation
13638,deadlift_2500111.jpg,deadlift,0.0,train
13637,deadlift_2500121.jpg,deadlift,0.0,train
13636,deadlift_2500131.jpg,deadlift,0.0,train
13635,deadlift_2500141.jpg,deadlift,0.0,test
13634,deadlift_2500151.jpg,deadlift,0.0,validation
13633,deadlift_2500161.jpg,deadlift,0.0,train
13632,deadlift_2500171.jpg,deadlift,0.0,train
13631,deadlift_2500181.jpg,deadlift,0.0,train
13630,deadlift_2500191.jpg,deadlift,0.0,test
13629,deadlift_2500201.jpg,deadlift,0.0,test
13628,deadlift_2500211.jpg,deadlift,0.0,train
13627,deadlift_2500221.jpg,deadlift,0.0,train
13626,deadlift_2500231.jpg,deadlift,0.0,test
13625,deadlift_2500241.jpg,deadlift,0.0,train
13624,deadlift_2500251.jpg,deadlift,0.0,validation
13623,deadlift_2500261.jpg,deadlift,0.0,train
13622,deadlift_2500271.jpg,deadlift,0.0,test
13621,deadlift_2500281.jpg,deadlift,0.0,train
13620,deadlift_2500291.jpg,deadlift,0.0,validation
13619,deadlift_2500301.jpg,deadlift,0.0,train
13618,deadlift_2500311.jpg,deadlift,0.0,validation
13617,deadlift_2500321.jpg,deadlift,0.0,test
13616,deadlift_2500331.jpg,deadlift,0.0,train
13615,deadlift_2500341.jpg,deadlift,0.0,train
13614,deadlift_2500351.jpg,deadlift,0.0,validation
13613,deadlift_2500361.jpg,deadlift,0.0,test
13612,deadlift_2500371.jpg,deadlift,0.0,validation
13611,deadlift_2500381.jpg,deadlift,0.0,train
13610,deadlift_2500391.jpg,deadlift,0.0,train
13609,deadlift_2500401.jpg,deadlift,0.0,train
13608,deadlift_2500411.jpg,deadlift,0.0,train
13607,deadlift_2500421.jpg,deadlift,0.0,validation
13606,deadlift_2500431.jpg,deadlift,0.0,train
13605,deadlift_2500441.jpg,deadlift,0.0,train
13604,deadlift_2500451.jpg,deadlift,0.0,train
13603,deadlift_2500461.jpg,deadlift,0.0,test
13602,deadlift_2500471.jpg,deadlift,0.0,train
13601,deadlift_2500481.jpg,deadlift,0.0,validation
13600,deadlift_2500491.jpg,deadlift,0.0,train
13599,deadlift_2500501.jpg,deadlift,0.0,train
13598,deadlift_2500511.jpg,deadlift,0.0,validation
13597,deadlift_2500521.jpg,deadlift,0.0,test
13596,deadlift_2500531.jpg,deadlift,0.0,test
13595,deadlift_2500541.jpg,deadlift,0.0,test
13594,deadlift_2500551.jpg,deadlift,0.0,train
13593,deadlift_2500561.jpg,deadlift,0.0,train
13592,deadlift_2500571.jpg,deadlift,0.0,train
13591,deadlift_2500581.jpg,deadlift,0.0,validation
13590,deadlift_2500591.jpg,deadlift,0.0,train
13589,deadlift_2500601.jpg,deadlift,0.0,validation
13588,deadlift_2500611.jpg,deadlift,0.0,train
13587,deadlift_2500621.jpg,deadlift,0.0,train
13586,deadlift_2500631.jpg,deadlift,0.0,validation
13585,deadlift_2500641.jpg,deadlift,0.0,train
13584,deadlift_2500651.jpg,deadlift,0.0,validation
13583,deadlift_2500661.jpg,deadlift,0.0,test
13582,deadlift_2500671.jpg,deadlift,0.0,train
13581,deadlift_2500681.jpg,deadlift,0.0,test
13580,deadlift_2500691.jpg,deadlift,0.0,train
13579,deadlift_2500701.jpg,deadlift,0.0,validation
13578,deadlift_2500711.jpg,deadlift,0.0,train
13577,deadlift_2500721.jpg,deadlift,0.0,train
13576,deadlift_2500731.jpg,deadlift,0.0,train
13575,deadlift_2500741.jpg,deadlift,0.0,train
13574,deadlift_2500751.jpg,deadlift,0.0,train
13573,deadlift_2500761.jpg,deadlift,0.0,train
13572,deadlift_2500771.jpg,deadlift,0.0,train
13571,deadlift_2500781.jpg,deadlift,0.0,train
13570,deadlift_2500791.jpg,deadlift,0.0,test
13569,deadlift_2500801.jpg,deadlift,0.0,train
13568,deadlift_2500811.jpg,deadlift,0.0,test
13567,deadlift_2500821.jpg,deadlift,0.0,train
13566,deadlift_2500831.jpg,deadlift,0.0,train
13565,deadlift_2500841.jpg,deadlift,0.0,train
13564,deadlift_2500851.jpg,deadlift,0.0,test
13563,deadlift_2500861.jpg,deadlift,0.0,train
13562,deadlift_2500871.jpg,deadlift,0.0,train
13561,deadlift_2500881.jpg,deadlift,0.0,train
13560,deadlift_2500891.jpg,deadlift,0.0,train
13559,deadlift_2500901.jpg,deadlift,0.0,test
13558,deadlift_2500911.jpg,deadlift,0.0,train
13557,deadlift_2500921.jpg,deadlift,0.0,train
13556,deadlift_2600001.jpg,deadlift,0.0,train
13555,deadlift_2600011.jpg,deadlift,0.0,train
13554,deadlift_2600021.jpg,deadlift,0.0,train
13553,deadlift_2600031.jpg,deadlift,0.0,train
13552,deadlift_2600041.jpg,deadlift,0.0,train
13551,deadlift_2600051.jpg,deadlift,0.0,train
13550,deadlift_2600061.jpg,deadlift,0.0,train
13549,deadlift_2600071.jpg,deadlift,0.0,train
13548,deadlift_2600081.jpg,deadlift,0.0,train
13547,deadlift_2600091.jpg,deadlift,0.0,train
13546,deadlift_2600101.jpg,deadlift,0.0,test
13545,deadlift_2600111.jpg,deadlift,0.0,test
13544,deadlift_2600121.jpg,deadlift,0.0,test
13543,deadlift_2600131.jpg,deadlift,0.0,validation
13542,deadlift_2600141.jpg,deadlift,0.0,test
13541,deadlift_2600151.jpg,deadlift,0.0,test
13540,deadlift_2600161.jpg,deadlift,0.0,train
13539,deadlift_2600171.jpg,deadlift,0.0,validation
13538,deadlift_2700001.jpg,deadlift,0.0,train
13537,deadlift_2700011.jpg,deadlift,0.0,test
13536,deadlift_2700021.jpg,deadlift,0.0,validation
13535,deadlift_2700031.jpg,deadlift,0.0,validation
13534,deadlift_2700041.jpg,deadlift,0.0,train
13533,deadlift_2700051.jpg,deadlift,0.0,validation
13532,deadlift_2700061.jpg,deadlift,0.0,test
13531,deadlift_2700071.jpg,deadlift,0.0,train
13530,deadlift_2700081.jpg,deadlift,0.0,train
13529,deadlift_2700091.jpg,deadlift,0.0,train
13528,deadlift_2700101.jpg,deadlift,0.0,train
13527,deadlift_2700111.jpg,deadlift,0.0,validation
13526,deadlift_2700121.jpg,deadlift,0.0,train
13525,deadlift_2700131.jpg,deadlift,0.0,test
13524,deadlift_2700141.jpg,deadlift,0.0,test
13523,deadlift_2700151.jpg,deadlift,0.0,train
13522,deadlift_2800001.jpg,deadlift,0.0,train
13521,deadlift_2800011.jpg,deadlift,0.0,train
13520,deadlift_2800021.jpg,deadlift,0.0,train
13519,deadlift_2800031.jpg,deadlift,0.0,validation
13518,deadlift_2800041.jpg,deadlift,0.0,train
13517,deadlift_2800051.jpg,deadlift,0.0,test
13516,deadlift_2800061.jpg,deadlift,0.0,validation
13515,deadlift_2800071.jpg,deadlift,0.0,train
13514,deadlift_2800081.jpg,deadlift,0.0,train
13513,deadlift_2800091.jpg,deadlift,0.0,train
13512,deadlift_2800101.jpg,deadlift,0.0,train
13511,deadlift_2800111.jpg,deadlift,0.0,train
13510,deadlift_2800121.jpg,deadlift,0.0,train
13509,deadlift_2800131.jpg,deadlift,0.0,train
13508,deadlift_2800141.jpg,deadlift,0.0,test
13507,deadlift_2800151.jpg,deadlift,0.0,train
13506,deadlift_2800161.jpg,deadlift,0.0,train
13505,deadlift_2800171.jpg,deadlift,0.0,train
13504,deadlift_2800181.jpg,deadlift,0.0,test
13503,deadlift_2800191.jpg,deadlift,0.0,train
13502,deadlift_2900001.jpg,deadlift,0.0,train
13501,deadlift_2900011.jpg,deadlift,0.0,validation
13500,deadlift_2900021.jpg,deadlift,0.0,train
13499,deadlift_2900031.jpg,deadlift,0.0,test
13498,deadlift_2900041.jpg,deadlift,0.0,test
13497,deadlift_2900051.jpg,deadlift,0.0,test
13496,deadlift_2900061.jpg,deadlift,0.0,train
13495,deadlift_2900071.jpg,deadlift,0.0,train
13494,deadlift_2900081.jpg,deadlift,0.0,train
13493,deadlift_2900091.jpg,deadlift,0.0,train
13492,deadlift_3000001.jpg,deadlift,0.0,train
13491,deadlift_300001.jpg,deadlift,0.0,train
13490,deadlift_3000011.jpg,deadlift,0.0,train
13489,deadlift_3000021.jpg,deadlift,0.0,train
13488,deadlift_3000031.jpg,deadlift,0.0,train
13487,deadlift_3000041.jpg,deadlift,0.0,train
13486,deadlift_3000051.jpg,deadlift,0.0,test
13485,deadlift_3000061.jpg,deadlift,0.0,train
13484,deadlift_3000071.jpg,deadlift,0.0,validation
13483,deadlift_3000081.jpg,deadlift,0.0,train
13482,deadlift_3000091.jpg,deadlift,0.0,test
13481,deadlift_3000101.jpg,deadlift,0.0,test
13480,deadlift_300011.jpg,deadlift,0.0,train
13479,deadlift_3000111.jpg,deadlift,0.0,train
13478,deadlift_3000121.jpg,deadlift,0.0,train
13477,deadlift_3000131.jpg,deadlift,0.0,train
13476,deadlift_3000141.jpg,deadlift,0.0,test
13475,deadlift_3000151.jpg,deadlift,0.0,test
13474,deadlift_3000161.jpg,deadlift,0.0,test
13473,deadlift_3000171.jpg,deadlift,0.0,validation
13472,deadlift_300021.jpg,deadlift,0.0,validation
13471,deadlift_300031.jpg,deadlift,0.0,train
13470,deadlift_300041.jpg,deadlift,0.0,train
13469,deadlift_300051.jpg,deadlift,0.0,train
13468,deadlift_300061.jpg,deadlift,0.0,train
13467,deadlift_300071.jpg,deadlift,0.0,train
13466,deadlift_300081.jpg,deadlift,0.0,train
13465,deadlift_300091.jpg,deadlift,0.0,validation
13464,deadlift_300101.jpg,deadlift,0.0,train
13463,deadlift_300111.jpg,deadlift,0.0,train
13462,deadlift_300121.jpg,deadlift,0.0,validation
13461,deadlift_300131.jpg,deadlift,0.0,train
13460,deadlift_300141.jpg,deadlift,0.0,train
13459,deadlift_3100001.jpg,deadlift,0.0,train
13458,deadlift_3100011.jpg,deadlift,0.0,test
13457,deadlift_3100021.jpg,deadlift,0.0,test
13456,deadlift_3100031.jpg,deadlift,0.0,test
13455,deadlift_3100041.jpg,deadlift,0.0,train
13454,deadlift_3100051.jpg,deadlift,0.0,train
13453,deadlift_3100061.jpg,deadlift,0.0,validation
13452,deadlift_3100071.jpg,deadlift,0.0,test
13451,deadlift_3100081.jpg,deadlift,0.0,train
13450,deadlift_3100091.jpg,deadlift,0.0,test
13449,deadlift_3100101.jpg,deadlift,0.0,validation
13448,deadlift_3100111.jpg,deadlift,0.0,train
13447,deadlift_3100121.jpg,deadlift,0.0,validation
13446,deadlift_3100131.jpg,deadlift,0.0,train
13445,deadlift_3100141.jpg,deadlift,0.0,train
13444,deadlift_3200001.jpg,deadlift,0.0,train
13443,deadlift_3200011.jpg,deadlift,0.0,train
13442,deadlift_3200021.jpg,deadlift,0.0,train
13441,deadlift_3200031.jpg,deadlift,0.0,validation
13440,deadlift_3200041.jpg,deadlift,0.0,train
13439,deadlift_3200051.jpg,deadlift,0.0,test
13438,deadlift_3200061.jpg,deadlift,0.0,test
13437,deadlift_3200071.jpg,deadlift,0.0,train
13436,deadlift_3200081.jpg,deadlift,0.0,train
13435,deadlift_3200091.jpg,deadlift,0.0,train
13434,deadlift_3200101.jpg,deadlift,0.0,test
13433,deadlift_400001.jpg,deadlift,0.0,train
13432,deadlift_400011.jpg,deadlift,0.0,train
13431,deadlift_400021.jpg,deadlift,0.0,train
13430,deadlift_400031.jpg,deadlift,0.0,train
13429,deadlift_400041.jpg,deadlift,0.0,test
13428,deadlift_400051.jpg,deadlift,0.0,test
13427,deadlift_400061.jpg,deadlift,0.0,validation
13426,deadlift_400071.jpg,deadlift,0.0,train
13425,deadlift_400081.jpg,deadlift,0.0,train
13424,deadlift_400091.jpg,deadlift,0.0,train
13423,deadlift_400101.jpg,deadlift,0.0,test
13422,deadlift_400111.jpg,deadlift,0.0,train
13421,deadlift_400121.jpg,deadlift,0.0,train
13420,deadlift_400131.jpg,deadlift,0.0,validation
13419,deadlift_400141.jpg,deadlift,0.0,train
13418,deadlift_500001.jpg,deadlift,0.0,train
13417,deadlift_500011.jpg,deadlift,0.0,train
13416,deadlift_500021.jpg,deadlift,0.0,validation
13415,deadlift_500031.jpg,deadlift,0.0,train
13414,deadlift_500041.jpg,deadlift,0.0,validation
13413,deadlift_500051.jpg,deadlift,0.0,validation
13412,deadlift_500061.jpg,deadlift,0.0,train
13411,deadlift_500071.jpg,deadlift,0.0,validation
13410,deadlift_500081.jpg,deadlift,0.0,validation
13409,deadlift_500091.jpg,deadlift,0.0,train
13408,deadlift_500101.jpg,deadlift,0.0,train
13407,deadlift_500111.jpg,deadlift,0.0,validation
13406,deadlift_500121.jpg,deadlift,0.0,train
13405,deadlift_500131.jpg,deadlift,0.0,train
13404,deadlift_500141.jpg,deadlift,0.0,train
13403,deadlift_600001.jpg,deadlift,0.0,validation
13402,deadlift_600011.jpg,deadlift,0.0,validation
13401,deadlift_600021.jpg,deadlift,0.0,train
13400,deadlift_600031.jpg,deadlift,0.0,train
13399,deadlift_600041.jpg,deadlift,0.0,test
13398,deadlift_600051.jpg,deadlift,0.0,train
13397,deadlift_600061.jpg,deadlift,0.0,validation
13396,deadlift_600071.jpg,deadlift,0.0,train
13395,deadlift_600081.jpg,deadlift,0.0,test
13394,deadlift_600091.jpg,deadlift,0.0,train
13393,deadlift_600101.jpg,deadlift,0.0,train
13392,deadlift_600111.jpg,deadlift,0.0,train
13391,deadlift_600121.jpg,deadlift,0.0,train
13390,deadlift_600131.jpg,deadlift,0.0,train
13389,deadlift_600141.jpg,deadlift,0.0,validation
13388,deadlift_700001.jpg,deadlift,0.0,train
13387,deadlift_700011.jpg,deadlift,0.0,train
13386,deadlift_700021.jpg,deadlift,0.0,train
13385,deadlift_700031.jpg,deadlift,0.0,train
13384,deadlift_700041.jpg,deadlift,0.0,train
13383,deadlift_700051.jpg,deadlift,0.0,validation
13382,deadlift_700061.jpg,deadlift,0.0,train
13381,deadlift_700071.jpg,deadlift,0.0,test
13380,deadlift_700081.jpg,deadlift,0.0,train
13379,deadlift_700091.jpg,deadlift,0.0,test
13378,deadlift_700101.jpg,deadlift,0.0,validation
13377,deadlift_700111.jpg,deadlift,0.0,train
13376,deadlift_700121.jpg,deadlift,0.0,train
13375,deadlift_700131.jpg,deadlift,0.0,validation
13374,deadlift_700141.jpg,deadlift,0.0,train
13373,deadlift_800001.jpg,deadlift,0.0,validation
13372,deadlift_800011.jpg,deadlift,0.0,train
13371,deadlift_800021.jpg,deadlift,0.0,train
13370,deadlift_800031.jpg,deadlift,0.0,test
13369,deadlift_800041.jpg,deadlift,0.0,test
13368,deadlift_800051.jpg,deadlift,0.0,test
13367,deadlift_800061.jpg,deadlift,0.0,train
13366,deadlift_800071.jpg,deadlift,0.0,test
13365,deadlift_800081.jpg,deadlift,0.0,train
13364,deadlift_800091.jpg,deadlift,0.0,test
13363,deadlift_800101.jpg,deadlift,0.0,train
13362,deadlift_800111.jpg,deadlift,0.0,train
13361,deadlift_800121.jpg,deadlift,0.0,validation
13360,deadlift_800131.jpg,deadlift,0.0,train
13359,deadlift_800141.jpg,deadlift,0.0,test
13358,deadlift_900001.jpg,deadlift,0.0,train
13357,deadlift_900011.jpg,deadlift,0.0,validation
13356,deadlift_900021.jpg,deadlift,0.0,train
13355,deadlift_900031.jpg,deadlift,0.0,train
13354,deadlift_900041.jpg,deadlift,0.0,train
13353,deadlift_900051.jpg,deadlift,0.0,validation
13352,deadlift_900061.jpg,deadlift,0.0,validation
13351,deadlift_900071.jpg,deadlift,0.0,train
13350,deadlift_900081.jpg,deadlift,0.0,train
13349,deadlift_900091.jpg,deadlift,0.0,train
13348,deadlift_900101.jpg,deadlift,0.0,train
13347,deadlift_900111.jpg,deadlift,0.0,train
13346,deadlift_900121.jpg,deadlift,0.0,train
13345,deadlift_900131.jpg,deadlift,0.0,train
13344,deadlift_900141.jpg,deadlift,0.0,test
13343,deadlift_g1.jpg,deadlift,0.0,train
13342,deadlift_g10.jpg,deadlift,0.0,train
13341,deadlift_g11.jpg,deadlift,0.0,train
13340,deadlift_g12.jpg,deadlift,0.0,test
13339,deadlift_g13.jpg,deadlift,0.0,train
13338,deadlift_g14.jpg,deadlift,0.0,train
13337,deadlift_g15.jpg,deadlift,0.0,train
13336,deadlift_g16.jpg,deadlift,0.0,validation
13335,deadlift_g17.jpg,deadlift,0.0,validation
